"conf_cases","weekdate","week","year"
20,2000-10-14,42,2000
33,2000-10-21,43,2000
27,2000-10-28,44,2000
36,2000-11-04,45,2000
46,2000-11-11,46,2000
58,2000-11-18,47,2000
53,2000-11-25,48,2000
49,2000-12-02,49,2000
43,2000-12-09,50,2000
36,2000-12-16,51,2000
32,2000-12-23,52,2000
41,2001-01-01,1,2001
23,2001-01-08,2,2001
29,2001-01-15,3,2001
22,2001-01-22,4,2001
20,2001-01-29,5,2001
15,2001-02-05,6,2001
17,2001-02-12,7,2001
22,2001-02-19,8,2001
13,2001-02-26,9,2001
18,2001-03-05,10,2001
13,2001-03-12,11,2001
11,2001-03-19,12,2001
18,2001-03-26,13,2001
12,2001-04-02,14,2001
3,2001-04-09,15,2001
7,2001-04-16,16,2001
8,2001-04-23,17,2001
9,2001-04-30,18,2001
14,2001-05-07,19,2001
7,2001-05-14,20,2001
10,2001-05-21,21,2001
9,2001-05-28,22,2001
15,2001-06-04,23,2001
19,2001-06-11,24,2001
13,2001-06-18,25,2001
25,2001-06-25,26,2001
15,2001-07-02,27,2001
30,2001-07-09,28,2001
29,2001-07-16,29,2001
27,2001-07-23,30,2001
36,2001-07-30,31,2001
53,2001-08-06,32,2001
70,2001-08-13,33,2001
76,2001-08-20,34,2001
82,2001-08-27,35,2001
90,2001-09-03,36,2001
105,2001-09-10,37,2001
110,2001-09-17,38,2001
94,2001-09-24,39,2001
105,2001-10-01,40,2001
109,2001-10-08,41,2001
100,2001-10-15,42,2001
96,2001-10-22,43,2001
105,2001-10-29,44,2001
119,2001-11-05,45,2001
109,2001-11-12,46,2001
93,2001-11-19,47,2001
67,2001-11-26,48,2001
38,2001-12-03,49,2001
50,2001-12-10,50,2001
34,2001-12-17,51,2001
33,2001-12-24,52,2001
45,2002-01-01,1,2002
44,2002-01-08,2,2002
41,2002-01-15,3,2002
29,2002-01-22,4,2002
24,2002-01-29,5,2002
21,2002-02-05,6,2002
25,2002-02-12,7,2002
16,2002-02-19,8,2002
22,2002-02-26,9,2002
8,2002-03-05,10,2002
14,2002-03-12,11,2002
10,2002-03-19,12,2002
7,2002-03-26,13,2002
3,2002-04-02,14,2002
7,2002-04-09,15,2002
6,2002-04-16,16,2002
2,2002-04-23,17,2002
3,2002-04-30,18,2002
4,2002-05-07,19,2002
4,2002-05-14,20,2002
7,2002-05-21,21,2002
11,2002-05-28,22,2002
10,2002-06-04,23,2002
12,2002-06-11,24,2002
8,2002-06-18,25,2002
10,2002-06-25,26,2002
10,2002-07-02,27,2002
16,2002-07-09,28,2002
13,2002-07-16,29,2002
17,2002-07-23,30,2002
15,2002-07-30,31,2002
14,2002-08-06,32,2002
24,2002-08-13,33,2002
12,2002-08-20,34,2002
17,2002-08-27,35,2002
23,2002-09-03,36,2002
23,2002-09-10,37,2002
19,2002-09-17,38,2002
16,2002-09-24,39,2002
15,2002-10-01,40,2002
22,2002-10-08,41,2002
14,2002-10-15,42,2002
15,2002-10-22,43,2002
24,2002-10-29,44,2002
19,2002-11-05,45,2002
20,2002-11-12,46,2002
15,2002-11-19,47,2002
11,2002-11-26,48,2002
15,2002-12-03,49,2002
18,2002-12-10,50,2002
7,2002-12-17,51,2002
15,2002-12-24,52,2002
20,2003-01-01,1,2003
13,2003-01-08,2,2003
11,2003-01-15,3,2003
21,2003-01-22,4,2003
9,2003-01-29,5,2003
9,2003-02-05,6,2003
11,2003-02-12,7,2003
9,2003-02-19,8,2003
11,2003-02-26,9,2003
11,2003-03-05,10,2003
11,2003-03-12,11,2003
13,2003-03-19,12,2003
11,2003-03-26,13,2003
5,2003-04-02,14,2003
4,2003-04-09,15,2003
10,2003-04-16,16,2003
7,2003-04-23,17,2003
7,2003-04-30,18,2003
8,2003-05-07,19,2003
11,2003-05-14,20,2003
11,2003-05-21,21,2003
14,2003-05-28,22,2003
11,2003-06-04,23,2003
17,2003-06-11,24,2003
14,2003-06-18,25,2003
19,2003-06-25,26,2003
17,2003-07-02,27,2003
32,2003-07-09,28,2003
34,2003-07-16,29,2003
27,2003-07-23,30,2003
25,2003-07-30,31,2003
36,2003-08-06,32,2003
38,2003-08-13,33,2003
55,2003-08-20,34,2003
56,2003-08-27,35,2003
48,2003-09-03,36,2003
66,2003-09-10,37,2003
60,2003-09-17,38,2003
55,2003-09-24,39,2003
70,2003-10-01,40,2003
67,2003-10-08,41,2003
54,2003-10-15,42,2003
61,2003-10-22,43,2003
61,2003-10-29,44,2003
46,2003-11-05,45,2003
53,2003-11-12,46,2003
33,2003-11-19,47,2003
38,2003-11-26,48,2003
28,2003-12-03,49,2003
28,2003-12-10,50,2003
21,2003-12-17,51,2003
19,2003-12-24,52,2003
22,2004-01-01,1,2004
20,2004-01-08,2,2004
21,2004-01-15,3,2004
18,2004-01-22,4,2004
28,2004-01-29,5,2004
14,2004-02-05,6,2004
19,2004-02-12,7,2004
14,2004-02-19,8,2004
15,2004-02-26,9,2004
7,2004-03-04,10,2004
11,2004-03-11,11,2004
8,2004-03-18,12,2004
11,2004-03-25,13,2004
8,2004-04-01,14,2004
5,2004-04-08,15,2004
5,2004-04-15,16,2004
5,2004-04-22,17,2004
12,2004-04-29,18,2004
7,2004-05-06,19,2004
9,2004-05-13,20,2004
6,2004-05-20,21,2004
14,2004-05-27,22,2004
23,2004-06-03,23,2004
16,2004-06-10,24,2004
24,2004-06-17,25,2004
15,2004-06-24,26,2004
13,2004-07-01,27,2004
32,2004-07-08,28,2004
28,2004-07-15,29,2004
14,2004-07-22,30,2004
18,2004-07-29,31,2004
36,2004-08-05,32,2004
24,2004-08-12,33,2004
27,2004-08-19,34,2004
12,2004-08-26,35,2004
22,2004-09-02,36,2004
17,2004-09-09,37,2004
21,2004-09-16,38,2004
44,2004-09-23,39,2004
23,2004-09-30,40,2004
26,2004-10-07,41,2004
36,2004-10-14,42,2004
26,2004-10-21,43,2004
28,2004-10-28,44,2004
30,2004-11-04,45,2004
16,2004-11-11,46,2004
27,2004-11-18,47,2004
14,2004-11-25,48,2004
15,2004-12-02,49,2004
21,2004-12-09,50,2004
23,2004-12-16,51,2004
15,2004-12-23,52,2004
11,2005-01-01,1,2005
23,2005-01-08,2,2005
20,2005-01-15,3,2005
8,2005-01-22,4,2005
13,2005-01-29,5,2005
10,2005-02-05,6,2005
11,2005-02-12,7,2005
